date.local,location,country,date.utc,coordinates.latitude,coordinates.longitude,co,no2,o3,pm10,pm25
2019-10-13 02:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 20:30:00+00:00,28.5627763,77.1180053,2590.0,35.3,8.12,301.99,117.91
2019-10-13 02:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 21:00:00+00:00,28.5627763,77.1180053,2610.0,34.75,7.85,411.17,190.66
2019-10-13 03:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 21:30:00+00:00,28.5627763,77.1180053,2680.0,34.21,8.05,462.08,299.09
2019-10-13 03:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 22:00:00+00:00,28.5627763,77.1180053,2650.0,34.46,10.19,469.19,320.2
2019-10-13 03:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 22:15:00+00:00,28.5627763,77.1180053,2630.0,34.24,7.81,439.9,303.1
2019-10-13 04:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 22:45:00+00:00,28.5627763,77.1180053,2560.0,34.21,8.57,322.56,209.62
2019-10-13 04:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 23:15:00+00:00,28.5627763,77.1180053,2610.0,34.17,10.35,294.33,160.04
2019-10-13 05:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-12 23:30:00+00:00,28.5627763,77.1180053,2590.0,33.78,5.9,279.97,148.05
2019-10-13 05:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 00:00:00+00:00,28.5627763,77.1180053,2570.0,33.44,7.08,265.75,122.91
2019-10-13 06:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 00:30:00+00:00,28.5627763,77.1180053,2520.0,34.67,5.94,315.14,150.88
2019-10-13 06:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 00:45:00+00:00,28.5627763,77.1180053,2500.0,35.22,7.43,299.24,145.39
2019-10-13 06:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 01:00:00+00:00,28.5627763,77.1180053,2570.0,34.15,6.83,243.83,129.58
2019-10-13 06:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 01:15:00+00:00,28.5627763,77.1180053,2510.0,34.65,6.15,204.84,110.36
2019-10-13 07:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 01:45:00+00:00,28.5627763,77.1180053,2450.0,34.26,7.45,190.73,101.46
2019-10-13 07:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 02:15:00+00:00,28.5627763,77.1180053,2370.0,34.69,14.54,193.25,97.5
2019-10-13 08:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 02:30:00+00:00,28.5627763,77.1180053,2420.0,34.81,12.42,189.11,98.33
2019-10-13 08:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 02:45:00+00:00,28.5627763,77.1180053,2440.0,33.92,10.01,194.12,104.9
2019-10-13 08:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 03:00:00+00:00,28.5627763,77.1180053,2410.0,33.72,14.2,212.1,124.26
2019-10-13 09:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 03:30:00+00:00,28.5627763,77.1180053,2390.0,33.32,22.47,264.85,148.99
2019-10-13 09:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 03:45:00+00:00,28.5627763,77.1180053,2400.0,33.29,22.08,294.57,169.32
2019-10-13 09:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 04:00:00+00:00,28.5627763,77.1180053,2410.0,33.46,19.06,305.39,180.02
2019-10-13 09:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 04:15:00+00:00,28.5627763,77.1180053,2400.0,32.97,23.88,322.42,167.51
2019-10-13 10:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 04:45:00+00:00,28.5627763,77.1180053,2410.0,33.11,29.81,286.22,135.61
2019-10-13 10:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 05:15:00+00:00,28.5627763,77.1180053,2390.0,33.27,49.95,201.45,110.46
2019-10-13 11:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 05:30:00+00:00,28.5627763,77.1180053,2450.0,32.96,40.04,196.8,101.7
2019-10-13 11:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 05:45:00+00:00,28.5627763,77.1180053,2370.0,32.88,60.6,198.67,101.12
2019-10-13 11:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 06:00:00+00:00,28.5627763,77.1180053,2320.0,33.06,52.99,224.8,99.25
2019-10-13 12:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 06:30:00+00:00,28.5627763,77.1180053,2380.0,32.88,59.08,250.79,132.19
2019-10-13 12:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 07:00:00+00:00,28.5627763,77.1180053,2410.0,32.93,62.28,190.36,107.57
2019-10-13 13:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 07:30:00+00:00,28.5627763,77.1180053,2300.0,32.69,63.01,188.16,102.74
2019-10-13 13:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 07:45:00+00:00,28.5627763,77.1180053,2380.0,32.85,62.33,190.41,104.99
2019-10-13 13:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 08:00:00+00:00,28.5627763,77.1180053,2300.0,32.74,65.25,190.11,106.97
2019-10-13 13:45:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 08:15:00+00:00,28.5627763,77.1180053,2330.0,32.83,57.71,207.58,116.42
2019-10-13 14:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 08:45:00+00:00,28.5627763,77.1180053,2270.0,33.0,64.39,223.98,123.24
2019-10-13 14:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 09:00:00+00:00,28.5627763,77.1180053,2300.0,33.31,60.88,211.1,117.26
2019-10-13 15:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 09:30:00+00:00,28.5627763,77.1180053,2270.0,33.16,49.12,164.54,90.88
2019-10-13 15:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 10:00:00+00:00,28.5627763,77.1180053,2260.0,32.84,45.42,141.91,68.51
2019-10-13 16:00:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 10:30:00+00:00,28.5627763,77.1180053,2240.0,32.86,42.01,130.54,66.47
2019-10-13 16:15:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 10:45:00+00:00,28.5627763,77.1180053,2210.0,33.23,44.13,124.71,63.79
2019-10-13 16:30:00,"IGI Airport (T3), Delhi - IMD",IN,2019-10-13 11:00:00+00:00,28.5627763,77.1180053,2200.0,33.16,35.76,125.14,59.68
